"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","min0t50","avg15t50"
5,0.07,0.05,2,2.4,4.29837111881884e-322,6.63334162202e-77,1.09526157628e-20
5,0.07,0.05,2,2.5,5.53353523342196e-322,1.61195890375e-77,7.39024062087e-21
5,0.07,0.05,2,2.6,4.29837111881884e-322,4.36756072706e-78,5.12687841349e-21
5,0.07,0.05,2,2.7,4.24896455423472e-322,1.30245355096e-78,3.64562783776e-21
5,0.07,0.05,2,2.8,4.34777768340297e-322,4.21882266234e-79,2.65032822344e-21
5,0.07,0.05,2,2.9,6.47225996052033e-322,1.47360147572e-79,1.9656545102e-21
5,0.07,0.05,2,3,6.76869934802508e-322,5.50892768047e-80,1.48453423637e-21
6,0.07,0.05,2,0,0.00356545512674,0.00356545458575,0.00356573529998
6,0.07,0.05,2,0.1,0.00271312739956,0.00209980338567,0.00272261283197
6,0.07,0.05,2,0.2,0.00198835005513,0.00104544149858,0.00200607014643
6,0.07,0.05,2,0.3,0.0013738933313,0.000397732177744,0.00135580293912
6,0.07,0.05,2,0.4,0.000848700959298,9.47254331529e-05,0.000917354758006
6,0.07,0.05,2,0.5,0.000392333127105,9.64883243095e-06,0.000603797897411
6,0.07,0.05,2,0.6,1.37147942672e-18,1.47829370239e-07,0.000250953076106
6,0.07,0.05,2,0.7,1.55460128814e-233,2.50450689093e-12,2.99987723334e-10
6,0.07,0.05,2,0.8,4.84184332924422e-322,6.50209859589e-26,1.48015163927e-12
6,0.07,0.05,2,0.9,1.03753785626662e-322,3.23131240179e-36,4.5184148868e-14
6,0.07,0.05,2,1,1.13635098543487e-322,4.11545541436e-44,2.70862810891e-15
6,0.07,0.05,2,1.1,2.81617418129511e-322,3.09576498852e-50,2.63628421534e-16
6,0.07,0.05,2,1.2,1.18575755001899e-322,4.71320570941e-55,3.71114145116e-17
6,0.07,0.05,2,1.3,1.53160350210786e-322,6.69252936027e-59,6.97104141226e-18
6,0.07,0.05,2,1.4,3.8043054729776e-322,5.03987657039e-62,1.64667011408e-18
6,0.07,0.05,2,1.5,4.19955798965060e-322,1.33118933894e-64,4.67812519213e-19
6,0.07,0.05,2,1.6,4.34777768340297e-322,9.16274372492e-67,1.54510965799e-19
6,0.07,0.05,2,1.7,4.49599737715534e-322,1.3204758986e-68,5.77897735446e-20
6,0.07,0.05,2,1.8,1.92685601878086e-322,3.38190579075e-70,2.3973876469e-20
6,0.07,0.05,2,1.9,4.39718424798709e-322,1.37372635689e-71,1.08562116485e-20
6,0.07,0.05,2,2,7.75683063970757e-322,8.09464159966e-73,5.29674701575e-21
6,0.07,0.05,2,2.1,1.51678153273263e-321,6.43295727054e-74,2.75432032235e-21
6,0.07,0.05,2,2.2,1.31915527439613e-321,6.56705981296e-75,1.51380329748e-21
6,0.07,0.05,2,2.3,8.25089628554882e-322,8.28277949507e-76,8.73163175927e-22
6,0.07,0.05,2,2.4,8.5967422376377e-322,1.2475220441e-76,5.25361992365e-22
6,0.07,0.05,2,2.5,1.24010477106153e-321,2.19059531044e-77,3.2813229161e-22
6,0.07,0.05,2,2.6,4.59481050632359e-322,4.40078125176e-78,2.11873610177e-22
6,0.07,0.05,2,2.7,4.54540394173947e-322,9.93457062543e-79,1.40913472799e-22
6,0.07,0.05,2,2.8,4.74303020007597e-322,2.48579514298e-79,9.62373546881e-23
6,0.07,0.05,2,2.9,1.35868052606343e-321,6.82056491095e-80,6.73183910788e-23
