"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","lambdaIoutReinfF","lambdaIoutReinf0t5F","lambdaIoutReinf5t15F","lambdaIoutReinf15p","lambdaIoutF","lambdaIout0t5F","lambdaIout5t15F","lambdaIout15p"
6,0.07,0.05,2,2.6,1.95649995753134e-321,3.70549234380935e-322,0,0,3.70549234380935e-322,9.48606040015193e-322,9.88131291682493e-323,1.97626258336499e-322,6.52166652510445e-322
6,0.07,0.05,2,2.7,1.60077269252564e-321,3.31023982713635e-322,0,0,3.31023982713635e-322,6.17582057301558e-322,0,0,6.17582057301558e-322
6,0.07,0.05,2,2.8,1.88239011065515e-321,3.65608577922522e-322,0,0,3.65608577922522e-322,9.33784070639956e-322,8.39911597930119e-323,1.97626258336499e-322,6.52166652510445e-322
6,0.07,0.05,2,2.9,2.15906687232625e-321,3.95252516672997e-322,0,0,3.95252516672997e-322,1.02271588689138e-321,4.94065645841247e-323,1.92685601878086e-322,7.8062372042917e-322
6,0.07,0.05,2,3,1.97626258336499e-321,3.70549234380935e-322,0,0,3.70549234380935e-322,8.99199475431069e-322,4.94065645841247e-323,1.92685601878086e-322,6.57107308968858e-322
8,0.07,0.05,2,0,0.00393002195521,0.000320777139972,7.13697841407e-07,2.38797953681e-05,0.000296183646763,0.00258773294639,0.00128170431449,0.000814857905799,0.0004911707261
8,0.07,0.05,2,0.1,0.00311802465543,0.000298589911272,6.71378718146e-07,2.14764277001e-05,0.000276442104854,0.0019879875261,0.000901472717082,0.000592194032845,0.000494320776175
8,0.07,0.05,2,0.2,0.00241285507764,0.000269927444364,5.91356921456e-07,1.85810455755e-05,0.000250755041867,0.00148673895979,0.000612439841512,0.000402591373771,0.000471707744506
8,0.07,0.05,2,0.3,0.00180922833231,0.000234446229307,4.88282454236e-07,1.52876993215e-05,0.000218670247532,0.00107608968758,0.000400517592003,0.000254899762949,0.000420672332626
8,0.07,0.05,2,0.4,0.00129502712838,0.000192231096005,3.74540244509e-07,1.17623821977e-05,0.000180094173563,0.000743113665725,0.000249242231906,0.000148990130017,0.000344881303802
8,0.07,0.05,2,0.5,0.000854914621325,0.000143601769938,2.59128607658e-07,8.18333382295e-06,0.000135159307507,0.000473264383771,0.000143028055958,7.83229836298e-05,0.000251913344183
8,0.07,0.05,2,0.6,0.000473909897073,8.89871897897e-05,1.47859925046e-07,4.69857093794e-06,8.41407589267e-05,0.000253174087777,6.90742064981e-05,3.40179725457e-05,0.000150081908734
8,0.07,0.05,2,0.7,0.000139525635517,2.89485810467e-05,4.41710249158e-08,1.41236572424e-06,2.74920442975e-05,7.19753351319e-05,1.77846580929e-05,7.78782605407e-06,4.6402850985e-05
8,0.07,0.05,2,0.8,9.61017333484e-108,2.12650140955e-108,3.13555463468e-111,9.9819947424e-110,2.02354590749e-108,4.77638447219e-108,1.18920615113e-108,4.37680373935e-109,3.14949794713e-108
8,0.07,0.05,2,0.9,1.10689408042e-277,2.53224216856e-278,3.7542892151e-281,1.18225192724e-279,2.41026268662e-278,5.32058920266e-278,1.44657901705e-278,4.29522298382e-279,3.44448788723e-278
8,0.07,0.05,2,1,3.51774739838968e-321,7.4109846876187e-322,0,9.88131291682493e-324,7.31217155845045e-322,1.65511991356818e-321,3.90311860214585e-322,2.02566914794911e-322,1.06224113855868e-321
8,0.07,0.05,2,1.1,2.77664892962781e-321,5.78056805634258e-322,0,9.88131291682493e-324,5.68175492717434e-322,1.29445199210407e-321,3.4090529563046e-322,2.02566914794911e-322,7.50979781678695e-322
8,0.07,0.05,2,1.2,4.06121960881505e-321,8.64614880222181e-322,0,9.88131291682493e-324,8.54733567305357e-322,1.93179667523927e-321,4.79243676466009e-322,2.17388884170148e-322,1.23516411460312e-321
8,0.07,0.05,2,1.3,3.79442416006077e-321,8.25089628554882e-322,0,9.88131291682493e-324,8.15208315638057e-322,1.79345829440372e-321,4.24896455423472e-322,2.12448227711736e-322,1.15611361126852e-321
8,0.07,0.05,2,1.4,3.49304411609761e-321,7.65801751053932e-322,0,9.88131291682493e-324,7.6086109459552e-322,1.66006057002659e-321,4.0019317313141e-322,2.12448227711736e-322,1.05235982564186e-321
8,0.07,0.05,2,1.5,3.31518048359476e-321,7.26276499386632e-322,0,9.88131291682493e-324,7.16395186469807e-322,1.56618809731675e-321,3.55727265005698e-322,2.12448227711736e-322,9.98012604599318e-322
8,0.07,0.05,2,1.6,3.2904772013027e-321,7.11454530011395e-322,0,9.88131291682493e-324,7.0157321709457e-322,1.53654415856628e-321,3.45845952088873e-322,2.12448227711736e-322,9.78249978765668e-322
8,0.07,0.05,2,1.7,3.09779159942462e-321,6.66988621885683e-322,0,9.88131291682493e-324,6.6204796542727e-322,1.43279037293961e-321,2.91498731046335e-322,2.07507571253324e-322,9.38724727098368e-322
8,0.07,0.05,2,1.8,3.32012114005318e-321,7.11454530011395e-322,0,0,7.11454530011395e-322,1.54642547148310e-321,3.45845952088873e-322,2.02566914794911e-322,9.98012604599318e-322
8,0.07,0.05,2,1.9,2.48515019858147e-321,5.18768928133309e-322,0,0,5.18768928133309e-322,1.17587623710217e-321,2.27270197086973e-322,1.97626258336499e-322,7.50979781678695e-322
8,0.07,0.05,2,2,2.46538757274782e-321,5.23709584591721e-322,0,0,5.23709584591721e-322,1.22528280168629e-321,2.61854792295861e-322,1.92685601878086e-322,7.70742407512345e-322
8,0.07,0.05,2,2.1,3.03850372192367e-321,6.57107308968858e-322,0,0,6.57107308968858e-322,1.44761234231485e-321,3.01380043963160e-322,2.02566914794911e-322,9.43665383556781e-322
8,0.07,0.05,2,2.2,2.96439387504748e-321,6.12641400843146e-322,0,0,6.12641400843146e-322,1.38832446481390e-321,2.91498731046335e-322,2.02566914794911e-322,8.94258818972656e-322
8,0.07,0.05,2,2.3,3.00391912671478e-321,6.32404026676796e-322,0,0,6.32404026676796e-322,1.40808709064755e-321,2.91498731046335e-322,2.02566914794911e-322,9.14021444806306e-322
8,0.07,0.05,2,2.4,2.02566914794911e-321,4.29837111881884e-322,0,0,4.29837111881884e-322,1.00295326105773e-321,2.32210853545386e-322,1.82804288961261e-322,5.87938118551083e-322
8,0.07,0.05,2,2.5,2.72230170858527e-321,5.58294179800609e-322,0,9.88131291682493e-324,5.48412866883784e-322,1.27468936627042e-321,2.47032822920623e-322,2.07507571253324e-322,8.2014897209647e-322
8,0.07,0.05,2,2.6,2.88040271525447e-321,6.12641400843146e-322,0,0,6.07700744384733e-322,1.32903658731295e-321,2.42092166462211e-322,1.97626258336499e-322,8.84377506055831e-322
8,0.07,0.05,2,2.7,4.23414258485948e-321,9.09080788347894e-322,0,9.88131291682493e-324,9.04140131889481e-322,1.98614389628181e-321,3.70549234380935e-322,3.06320700421573e-322,1.31421461793772e-321
8,0.07,0.05,2,2.8,2.91004665400494e-321,6.02760087926321e-322,0,0,6.02760087926321e-322,1.37350249543867e-321,2.86558074587923e-322,1.97626258336499e-322,8.89318162514244e-322
8,0.07,0.05,2,2.9,3.65114512276681e-321,7.65801751053932e-322,0,0,7.65801751053932e-322,1.74899238627801e-321,3.35964639172048e-322,2.61854792295861e-322,1.15117295481010e-321
8,0.07,0.05,2,3,2.84581812004558e-321,5.78056805634258e-322,0,0,5.78056805634258e-322,1.32903658731295e-321,2.61854792295861e-322,2.02566914794911e-322,8.64614880222181e-322
10,0.07,0.05,2,0,0.00422718081867,0.000345443887288,1.08378339085e-06,3.13769128862e-05,0.000312983191011,0.00262697281774,0.00148590210964,0.000722975772332,0.000418094935765
10,0.07,0.05,2,0.1,0.00345369103197,0.000328178617809,9.83823227112e-07,2.82350467384e-05,0.000298959747843,0.00207471720453,0.00108972060832,0.000558952671922,0.00042604392429
10,0.07,0.05,2,0.2,0.00276707916497,0.000305475049183,8.58755653959e-07,2.47310388079e-05,0.000279885254721,0.00160299437373,0.000775147270215,0.000407534169643,0.00042031293387
10,0.07,0.05,2,0.3,0.00216978629039,0.000276743148317,7.20028739586e-07,2.09492551974e-05,0.00025507386438,0.00121033948722,0.000535068770349,0.000279320101915,0.000395950614956
10,0.07,0.05,2,0.4,0.00165749929893,0.000241933463749,5.77978180154e-07,1.70335341334e-05,0.000224321951435,0.000889789517155,0.000357922836482,0.000179738859493,0.000352127821179
10,0.07,0.05,2,0.5,0.00122067234496,0.000201494588608,4.40368336363e-07,1.31460246363e-05,0.000187908195636,0.000630826717687,0.000230387419415,0.000108226733994,0.000292212564279
10,0.07,0.05,2,0.6,0.000847497937635,0.000156199863201,3.12104639991e-07,9.42673259893e-06,0.000146461025962,0.000422028443841,0.000139949477393,6.01730336957e-05,0.000221905932752
10,0.07,0.05,2,0.7,0.000526637582854,0.000107015169065,1.95799697563e-07,5.97481439759e-06,0.00010084455497,0.000253064179983,7.63368515696e-05,2.9608735191e-05,0.000147118593223
10,0.07,0.05,2,0.8,0.00024877554151,5.50706347756e-05,9.25590187757e-08,2.84975271971e-06,5.21283230371e-05,0.00011556728169,3.1806286461e-05,1.10521926469e-05,7.27088025821e-05
10,0.07,0.05,2,0.9,2.7857778525e-06,6.64872835677e-07,1.02936312259e-09,3.19521780527e-08,6.31891294502e-07,1.25395879875e-06,3.14978634078e-07,9.82685993681e-08,8.40711565308e-07
10,0.07,0.05,2,1,1.85118801364e-145,4.53206835534e-146,7.02738558312e-149,2.16400336719e-147,4.30864063303e-146,8.08547090324e-146,2.14976150315e-146,5.56774905777e-147,5.37893449431e-146
10,0.07,0.05,2,1.1,1.62742688057e-267,4.06126300668e-268,6.29301414755e-271,1.92653726617e-269,3.86231626592e-268,6.93886663957e-268,1.93642034021e-268,4.2162788326e-269,4.5808184161e-268
10,0.07,0.05,2,1.2,8.41887860513484e-321,1.99108455274022e-321,0,6.4228533959362e-323,1.93179667523927e-321,3.67090774860046e-321,8.94258818972656e-322,3.6066792146411e-322,2.42092166462211e-321
10,0.07,0.05,2,1.3,6.15605794718193e-321,1.45749365523168e-321,0,4.44659081257122e-323,1.40808709064755e-321,2.64819186170908e-321,6.02760087926321e-322,2.47032822920623e-322,1.79345829440372e-321
10,0.07,0.05,2,1.4,4.91101251966199e-321,1.15611361126852e-321,0,2.96439387504748e-323,1.12152901605963e-321,2.15412621586783e-321,5.18768928133309e-322,2.32210853545386e-322,1.39820577773073e-321
10,0.07,0.05,2,1.5,5.51377260758831e-321,1.30433330502089e-321,0,3.95252516672997e-323,1.26480805335359e-321,2.35175247420433e-321,5.58294179800609e-322,2.42092166462211e-322,1.55136612794151e-321
10,0.07,0.05,2,1.6,5.43966276071212e-321,1.28457067918724e-321,0,3.45845952088873e-323,1.24998608397835e-321,2.31222722253703e-321,5.43472210425371e-322,2.37151510003798e-322,1.53160350210786e-321
10,0.07,0.05,2,1.7,4.72820823070073e-321,1.11164770314280e-321,0,2.47032822920623e-323,1.08200376439233e-321,2.01084717857387e-321,4.19955798965060e-322,2.22329540628561e-322,1.36362118252184e-321
10,0.07,0.05,2,1.8,5.1135794344569e-321,1.19563886293582e-321,0,2.47032822920623e-323,1.17093558064375e-321,2.19365146753513e-321,4.99006302299659e-322,2.27270197086973e-322,1.46737496814850e-321
10,0.07,0.05,2,1.9,4.09580420402393e-321,9.48606040015193e-322,0,3.45845952088873e-323,9.09080788347894e-322,1.75887369919484e-321,3.50786608547285e-322,2.37151510003798e-322,1.16599492418534e-321
10,0.07,0.05,2,2,3.85865269402014e-321,9.14021444806306e-322,0,1.48219693752374e-323,8.99199475431069e-322,1.69464516523548e-321,3.4090529563046e-322,2.07507571253324e-322,1.14623229835169e-321
10,0.07,0.05,2,2.1,4.45153146902963e-321,1.04247851272503e-321,0,9.88131291682493e-324,1.03259719980821e-321,1.93179667523927e-321,4.0019317313141e-322,2.12448227711736e-322,1.31915527439613e-321
