"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev"
4,0.04,0.1,2,1.2,7.90505033345994e-322
4,0.04,0.1,2,1.3,8.34970941471707e-322
4,0.04,0.1,2,1.4,8.2014897209647e-322
4,0.04,0.1,2,1.5,6.17582057301558e-322
4,0.04,0.1,2,1.6,6.8181059126092e-322
4,0.04,0.1,2,1.7,6.52166652510445e-322
4,0.04,0.1,2,1.8,7.0157321709457e-322
4,0.04,0.1,2,1.9,6.22522713759971e-322
4,0.04,0.1,2,2,7.85564376887582e-322
4,0.04,0.1,2,2.1,7.8062372042917e-322
4,0.04,0.1,2,2.2,7.55920438137107e-322
4,0.04,0.1,2,2.3,8.30030285013294e-322
4,0.04,0.1,2,2.4,8.15208315638057e-322
4,0.04,0.1,2,2.5,6.86751247719333e-322
4,0.04,0.1,2,2.6,6.4228533959362e-322
4,0.04,0.1,2,2.7,6.47225996052033e-322
4,0.04,0.1,2,2.8,7.06513873552983e-322
4,0.04,0.1,2,2.9,6.17582057301558e-322
4,0.04,0.1,2,3,3.35964639172048e-322
4,0.1,0.025,2,0,0.00333399194888
4,0.1,0.025,2,0.1,0.00244179064383
4,0.1,0.025,2,0.2,0.00169276335636
4,0.1,0.025,2,0.3,0.00105822062469
4,0.1,0.025,2,0.4,0.000511810807642
4,0.1,0.025,2,0.5,3.47619218586e-05
4,0.1,0.025,2,0.6,5.73995389968e-205
4,0.1,0.025,2,0.7,4.8369026727858e-321
4,0.1,0.025,2,0.8,4.35765899631979e-321
4,0.1,0.025,2,0.9,2.94463124921383e-321
4,0.1,0.025,2,1,2.47032822920623e-321
4,0.1,0.025,2,1.1,2.39621838233005e-321
4,0.1,0.025,2,1.2,1.44267168585644e-321
4,0.1,0.025,2,1.3,2.92486862338018e-321
4,0.1,0.025,2,1.4,2.81617418129511e-321
4,0.1,0.025,2,1.5,2.75194564733574e-321
4,0.1,0.025,2,1.6,2.75194564733574e-321
4,0.1,0.025,2,1.7,9.93071948140906e-322
4,0.1,0.025,2,1.8,2.35175247420433e-321
4,0.1,0.025,2,1.9,8.94258818972656e-322
4,0.1,0.025,2,2,6.47225996052033e-322
4,0.1,0.025,2,2.1,1.64029794419294e-321
4,0.1,0.025,2,2.2,6.52166652510445e-322
4,0.1,0.025,2,2.3,9.14021444806306e-322
4,0.1,0.025,2,2.4,7.8062372042917e-322
4,0.1,0.025,2,2.5,6.37344683135208e-322
4,0.1,0.025,2,2.6,7.06513873552983e-322
4,0.1,0.025,2,2.7,7.36157812303457e-322
4,0.1,0.025,2,2.8,4.69362363549184e-322
4,0.1,0.025,2,2.9,7.26276499386632e-322
4,0.1,0.025,2,3,9.48606040015193e-322
6,0.04,0.025,2,0,0.00315215202364
6,0.04,0.025,2,0.1,0.00234873639894
6,0.04,0.025,2,0.2,0.00166838518493
6,0.04,0.025,2,0.3,0.00109263979599
6,0.04,0.025,2,0.4,0.000599238093142
6,0.04,0.025,2,0.5,0.000166836781956
6,0.04,0.025,2,0.6,2.50802723424e-162
6,0.04,0.025,2,0.7,3.59185724526586e-321
